SGL,Transect #,TransectMeterPlot,Genus,Species,Species common,Daubenmeyer,TransectLattitude ,TransectLongitude ,Heading,BurnDate,YearSinceBurn,CollectedDate,DateCollected,Time Category,Burn Unit,Days Since Burn,Notes,Cleaning notes
300,8,15m,Gaultheria,procumbens,teaberry,2,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,15m,Aronia,melanocarpa,black chokeberry,1,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,15m,Quercus,ilicifolia,scrub oak,1,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,15m,Vaccinium,angustifolium,lowbush blueberry,1,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,15m,Kalmia,angustifolia,sheep laurel,1,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,20m,Gaultheria,procumbens,teaberry,3,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,20m,Kalmia,angustifolia,sheep laurel,2,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,20m,Quercus,ilicifolia,scrub oak,2,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,20m,Betula,lenta,black birch,1,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,5m,Carex,pensylvanica,PA sedge,3,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,5m,Vaccinium,angustifolium,lowbush blueberry,3,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,5m,Rubus,allegheniensis ,Allegheny blackberry,2,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,5m,Aronia,melanocarpa,black chokeberry,1,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,5m,Gaylussacia,baccata,black huckleberry,1,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,5m,Viburnum,nudum,wild raisin,1,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,10m,Vaccinium,angustifolium,lowbush blueberry,3,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,10m,Aronia,melanocarpa,black chokeberry,2,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,10m,Carex,pensylvanica,PA sedge,2,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,10m,Quercus,ilicifolia,scrub oak,1,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,10m,Rubus,allegheniensis ,Allegheny blackberry,1,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,15m,Gaylussacia,baccata,black huckleberry,2,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,15m,Vaccinium,angustifolium,lowbush blueberry,3,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
